s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,label
16318.457,16032.9199,16071.7617,16285.1328,16126.4248,16013.877,16180.7676,16319.4219,16023.7568,16093.6387,16187.8379,16170.5557,16170.7676,16189.125,16184.6846,16152.2822,16052.1602,16099.1689,16192.4648,16248.8184,16194.0088,16100.6455,16159.8262,16157.249,16089.4238,16066.1533,16207.7041,16208.8379,16063.5957,16205.4004,16178.4746,16185.2568,16173.1494,16264.417,16167.3574,16083.5664,16169.0977,16081.4902,16093.0996,16177.8643,16079.4414,16063.3633,16150.1846,16127.6611,16122.6621,16123.7471,16210.8389,16226.2773,16093.9258,16113.7461,16195.3516,16177.959,16106.8516,16122.2617,16170.7217,16157.5771,16174.5645,16272.5205,16104.6914,16190.6748,16008.2168,16177.916,16171.3545,16187.1064,16127.9238,16177.0498,16076.1094,16244.4893,16102.8945,16050.249,16098.0762,16095.3838,16043.1484,16122.7559,16059.7451,16083.5859,16070.0215,16076.6553,16130.4814,16174.3447,16082.6406,16154.915,16157.7637,16082.9199,16066.0186,16151.9277,16144.3037,16159.2441,16088.124,16199.0908,16162.6602,16221.3545,16069.0674,16015.415,16069.0371,16140.3213,16090.6963,16141.0693,16161.8789,16126.8721,16196.4043,16136.5068,16210.9561,16195.5068,16200.3623,16144.96,16114.6416,16055.3467,16148.4512,16084.8115,16111.374,16164.3574,16107.8809,16093.3867,16168.043,16192.3408,16129.7314,16174.6758,16032.8311,16149.5576,16069.1875,16161.2295,16082.9941,16083.8438,16136.0674,16165.6484,16012.4766,16146.2266,3
16141.9014,16094.6572,16194.6904,16134.4805,16054.1338,16252.5527,16100.3584,16071.0068,16078.2236,16124.8105,16106.1377,16044.3574,16196.2744,16113.3877,16202.1846,16188.625,16148.9717,16121.4414,16172.0479,16135.5801,16183.8018,16037.0498,16275.9355,16174.1279,16153.1504,16114.1475,16155.8223,16158.4844,16243.9316,16110.9297,16111.1016,16106.9766,16191.1211,16221.0742,16061.2109,16203.6719,16135.9912,16132.1572,16121.9521,16179.2842,16140.8867,16163.6592,16132.6289,16163.6563,16123.5195,16060.7061,16172.6836,16068.9316,16185.2695,16123.7715,16109.7578,16181.4512,16126.3457,16144.9932,16049.2432,16132.1885,16097.0049,16233.3369,16079.8525,16189.0967,16102.5459,16156.0996,16196.1504,16134.4551,16079.583,16163.0703,16158.0088,16136.5547,15933.4443,16226.6318,16047.3066,16194.2432,16171.7041,16097.6826,16089.2178,16120.3682,16165.9473,16019.2334,16151.9961,16167.1357,16176.8252,16192.4824,16249.1523,16175.5498,16235.1572,16074.3594,16168.5645,16113.8477,16176.8994,16061.7734,16157.5664,16144.5127,16194.0879,16113.7148,16073.1699,16121.5508,16150.0459,16146.8213,16188.2549,16131.7051,16097.3584,16138.2051,16054.8955,16172.5977,16075.2656,16065.1621,16288.8594,16137.0254,16117.458,16128.5361,16164.5146,16164.6318,16269.8535,16199.0029,16113.1553,16064.7256,16154.8867,16204.9502,16101.1768,16185.4102,16156.0234,16098.5742,16078.6396,16150.1016,16170.083,16141.1777,16253.7422,16086.5996,3
16144.8506,16184.6953,16144.2471,16124.7246,16197.6328,16144.9102,16032.7656,16135.1748,16121.9932,16122.1924,16193.0146,16196.4912,16159.4678,16075.9043,16099.7197,16212.3174,16054.8193,16174.3672,16227.6943,16114.5791,16181.1611,16142.0635,16202.9063,16078.998,16106.6299,16155.25,16034.3125,16134.6563,16159.6729,16132.9404,16171.4629,16173.9297,16121.4766,16006.3809,16082.7451,16070.8057,16226.4697,16192.3623,16167.2236,16159.7949,16034.5986,16092.4814,16242.2451,15993.9463,16219.7803,16165.1768,16105.1309,16163.3232,16026.1699,16107.46,16075.7002,16080.8008,16167.0449,16113.1475,16075.9658,16233.2012,16094.9375,16230.2725,16097.4229,16151.6182,16118.792,16250.0186,16189.8301,16160.6719,16182.3164,16143.2588,16119.6592,16163.0664,16152.8691,16070.8623,16184.4502,16053.0625,16115.3076,16048.2646,16105.1729,16091.7588,16097.8887,16152.126,16159.7871,16149.457,16188.1357,16129.792,16247.0293,16019.1904,16121.6602,16152.5225,16014.791,16116.4023,16218.8525,16212.6445,16142.1943,16027.8672,16096.3779,15995.458,16173.7041,16260.1328,16099.3408,16162.9453,16212.1279,16204.3398,16142.1221,16131.2227,16083.5742,16143.541,16117.2021,16198.7588,16151.835,16151.6563,16169.1748,16225.249,16186.3594,16091.4199,16259.4297,16124.877,16125.3662,16163.1309,16135.126,16129.4629,16130.0225,16148.791,16137.2695,16214.3457,16160.5098,16257.5,16057.7529,16184.0732,16119.2559,16069.9414,3
16073.4658,16109.3018,16142.5137,15969.4316,16167.4443,16064.0723,16191.2402,16215.0332,16109.3301,16101.1943,16119.0391,16080.6514,16193.0059,16072.8545,16144.1572,16161.7705,16207.3252,16067.2393,16052.5107,16249.3838,16300.0127,16080.7246,16219.3418,16114.9521,16231.0488,16159.6406,16150.9131,16160.2285,16122.5625,16135.2588,16148.0576,16164.6553,16155.5088,16149.3633,16211.7275,16059.4922,16158.5371,16109.6094,16042.6719,16096.4893,16278.2715,16165.1533,16153.9541,16226.0771,16136.9131,16156.127,16083.1904,16241.0967,16189.6211,16174.8574,16091.5439,16104.667,16081.5381,16074.541,16172.3682,16177.6436,16143.0352,16151.1768,16169.9268,16146.791,16121.1582,16114.0127,16092.6367,16266.5439,16148.124,16223.6396,16092.1055,16243.1084,16128.0332,16159.4746,16096.2334,16219.1963,16071.167,16226.1152,16132.7813,16094.4365,16094.6299,16244.6934,16179.7725,16051.8857,16130.4551,16282.6719,16133.9912,16112.3135,16171.6914,16180.0342,15955.4941,16154.6357,16059.9941,16210.1211,16174.0146,16092.2129,16198.2686,16108.8506,16159.332,16232.248,16175.9063,16203.4238,16170.7119,16191.9316,16175.9551,16235.6895,16137.8789,16263.3281,16163.7744,16188.7256,16173.9902,16074.9229,16148.5195,16146.373,16155.3857,16068.3486,16128.207,16097.1074,16077.6611,16233.5059,16210.4639,16060.8213,16127.9805,16145.4365,16186.2881,16175.7285,16131.417,16042.2051,16262.7832,16172.6162,16170.0498,16236.2363,3
16199.168,16097.2686,16165.2373,16162.2852,16141.5439,16139.9883,16094.041,16234.9893,16137.4746,16078.7246,16019.7861,16119.3125,16212.9932,16226.0986,16059.041,16150.3779,16003.0723,16004.3027,16222.8369,16160.9922,16139.0654,16102.709,16181.2725,16148.1719,16105.0811,16010.4443,16082.7178,16136.208,16103.9209,16153.8887,16162.7793,16115.1904,16109.6572,16049.8838,16119.3418,16200.0264,16070.2031,16048.999,16081.4795,16217.9463,16070.6787,16117.9951,16097.6445,16093.1211,16052.6602,16225.9141,16165.0869,15996.4971,16193.8594,16226.2217,16088.6885,16136.6533,16152.2861,16161.0596,16096.1543,16222.585,16164.7109,16136.3691,16068.5098,16162.2051,16228.8545,16121.1025,16095.7607,16112.1289,16115.4277,16245.9229,16041.335,16119.4443,16172.5938,16161.5947,16138.1895,16129.8389,16073.8047,16136.9727,16161.0547,16193.0752,16169.6689,16126.0801,16101.3896,16214.3613,16169.5928,16129.8193,16233.8721,15978.9482,16114.5693,16106.2002,16081.3008,16083.9902,16143.0928,16155.5273,16172.3965,16161.3584,16253.374,16125.3301,16160.0928,16213.3574,16100.4238,16095.1113,16225.8945,16155.7705,16131.376,16097.5654,16195.791,16067.9932,16138.374,16070.7227,16184.1445,16148.7813,16168.915,16106.9814,16083.9004,16127.3672,16169.6211,16016.4873,16235.1113,16139.6953,16218.6787,16155.6006,16063.6895,16311.5469,16060.1377,16199.9707,16208.96,16173.0371,16118.6494,16034.3037,16134.9141,16062.5107,3
16153.5117,16089.0156,16059.3848,16111.5615,16211.0088,16123.2627,16040.9521,16143.043,16156.3594,16205.7158,16121.5059,16251.252,16093.1025,16130.0332,16163.2197,16141.0049,16175.709,16090.8906,16151.7744,16234.6621,16149.4346,16183.7871,16050.9805,16023.291,16176.0762,16040.875,16173.2158,16130.4385,16215.876,16141.334,16185.5439,16189.8184,16085.1621,16075.9023,16192.2383,16190.0811,16008.7695,16134.416,16125.2529,15995.1768,16129.0898,16120.1211,16158.0957,16142.8496,16083.1377,16214.9189,16115.7881,16156.4834,16112.6904,16137.7686,16163.8105,16130.8213,16148.7754,16063.1035,16205.7539,16030.4443,16114.9443,16172.4365,16102.6494,16103.665,16138.9189,16153.7119,16213.1846,16099.9365,16149.8311,16108.0684,16131.1953,16226.6924,16121.4512,16184.5186,16118.6885,16159.332,16141.6494,16165.7988,16139.0146,16252.2324,16115.7705,16149.8926,16141.8096,16195.6045,16085.1084,16130.6455,16111.4766,16103.6387,16199.7158,16266.0078,16042.0674,16090.4512,16183.8447,16140.8906,16107.3213,16161.7549,16219.7422,16173.3281,16114.7686,16228.3438,16114.4785,16139.5967,16186.9473,16223.9893,16202.1631,16067.2773,16162.25,16039.9092,16175.5264,16094.1807,16217.1729,16153.4023,16182.9365,16130.3613,16072.6709,16075.3652,16348.2881,16121.917,16172.4932,16327.8193,16123.6396,16089.9727,16156.0156,16158.5215,16009.7344,16044.4609,16173.1465,16176.0186,16074.8223,16087.7197,16089.001,16100.1172,3
16183.5996,16153.4658,16122.0732,16170.3867,16143.9248,16113.7051,16207.8428,16078.0156,16107.3848,16116.4971,16003.8066,16057.3428,16197.3711,16201.3379,16013.5703,16171.7959,16160.1367,16112.582,16147.127,16118.4063,16056.085,16227.3193,16269.0283,16087.959,16073.6592,16072.2617,16260.5088,16253.5957,16143.7764,16133.2217,16049.3174,16061.3428,16047.1221,16191.3701,16211.7197,16096.4307,16238.5762,16132.0518,16186.6211,16106.8398,16201.4248,16080.96,16222.7832,16162.0693,16132.1729,16211.2803,16225.2969,16134.3096,16086.8008,16138.5332,16238.5977,16177.2432,16175.0645,16219.1738,16136.873,16109.2344,16141.2139,16087.0645,16055.4404,16175.1631,16203.0986,16093.418,16025.96,16233.5117,16149.124,16159.6934,16139.5693,16078.6377,16071.2822,16065.9609,16193.457,16167.4072,16207.7227,16108.7969,16104.0713,16137.6533,16193.4189,16142.4766,16101.458,16197.0869,16127.5049,16216.374,16094.5674,16276.3555,16107.293,16186.0088,16118.0859,16092.7617,16089.957,16171.8086,16195.7549,16147.9785,16174.4795,16125.1738,16205.3281,16014.9873,16221.0703,16073.7441,16088.5898,16142.627,16173.8457,16078.1494,16032.3662,16186.001,16078.3574,16143.21,16159.8164,16182.4971,16180.2295,16029.8906,16128.0254,16081.5293,16143.9395,16177.3916,16092.2412,16133.6855,16102.8584,16130.4014,16191.7285,16179.5762,16110.3818,16219.9307,15980.415,16135.5068,16185.001,16135.0547,16188.4932,16108.583,3
16205.2334,16096.333,16134.75,16146.0156,16088.0049,16243.8506,16135.7344,16111.4521,16179.6543,16157.2236,16147.6514,16273.6289,16150.5049,16084.873,16100.3242,16183.5342,16047.4141,16131.4229,16119.6738,16101.6943,16077.877,16230.7295,16148.3135,16194.1543,16187.8574,16214.7559,16114.9717,16276.4521,16120.4365,16134.9697,16103.8281,16227.8398,16176.9707,16121.8252,16111.8447,16145.248,16112.123,16151.8818,16165.291,16172.5195,16236.7021,16098.7725,16194.6035,16082.0283,16122.1465,16154.79,16170.0605,16081.0801,16089.0527,16087.752,16133.1025,16128.9941,16189.8379,16089.3057,16289.2373,16083.1924,16076.1064,16185.8018,16198.7959,16149.1992,16128.4346,16232.9971,16249.6592,16063.1523,16239.376,16200.3408,16087.4355,16211.4473,16171.9922,16135.9717,16075.7822,16263.5605,16095.3262,15936.8662,16083.2441,16079.9941,16179.6563,16162.0156,16084.1768,16182.0059,16002.7842,16041.3838,16141.8008,16075.9658,16077.8516,16106.4414,16220.1201,16078.54,16074.752,16217.2969,16003.9043,16064.2695,16202.9316,16136.9424,16158.6641,16195.3701,16198.9473,16044.9521,16111.3447,16178.7422,16217.125,16154.0791,16122.7764,16031.0352,16160.2197,16233.3691,16186.1523,16107.1143,16101.3613,16185.1084,16125.6621,16146.2764,16114.3105,16147.2129,16109.5439,16200.2559,16169.4951,16053.2295,16168.9453,16138.2334,16127.5342,16194.8242,16124.8438,16144.8867,16112.3789,16158.1309,16135.5469,16226.7422,3
16130.4053,16138.1377,16151.1113,16178.2295,16139.6406,16201.6836,16072.2559,16044.998,16053.1797,16227.9023,16128.8047,16165.4619,16023.5703,16108.0361,16095.5479,16183.2295,16069.4736,16158.7578,16204.8838,16111.9307,16178.6094,16140.4336,16120.5645,16161.8506,16137.9453,16132.6836,16183.6904,16274.9014,16084.7227,16100.627,16173.3691,16179.5273,16114.4082,16110.3525,16127.2529,16136.6631,16158.375,16203.6836,16115.8789,16150.4824,16171.6396,16081.9844,16133.4092,16175.1865,16139.1816,16222.2158,16142.0459,16113.2637,16134.4854,16113.2246,16233.4434,16203.0176,16061.4629,16067.9287,16157.8916,16194.4648,16121.5625,16107.7402,16133.3174,16118.792,16201.7451,16226.1367,16062.1758,16137.876,16131.2422,16132.0527,16144.2666,16156.5332,16059.0537,16165.7305,16077.2012,16135.709,16062.0107,16146.2803,16188.8418,16186.8262,16107.752,16155.3916,16183.083,16147.8701,16168.9092,16063.583,16210.2197,16091.9961,16119.6172,16256.4053,16091.9697,16133.8945,16165.1289,16099.04,16101.8115,16140.9268,16160.6904,16011.9688,16279.7178,16156.8184,16009.8379,16252.4219,16152.4824,16230.0254,16229.6689,16101.6699,16118.4561,16102.1465,16184.6592,16183.1387,16059.8467,16159.0723,16196.2451,16112.6094,16192.1826,16174.0615,16213.5654,16113.9648,16207.1162,16224.2266,16174.6074,16145.2871,16280.3838,16152.5059,16157.3604,16005.0859,16041.6885,16140.9678,16193.5547,16213.8164,16121.0713,16174.2822,3
16214.5635,16099.8076,16132.2666,16112.4424,16106.3018,16135.8652,16084.1113,16062.8154,16213.0352,16164.4766,16125.252,16121.7461,16245.7627,16132.7402,16190.9404,16094.6406,16134.4609,16000.2744,16128.0918,16175.0352,16067.2129,16143.9756,16140.4502,16128.0557,16164.5674,16164.1328,16180.7305,16059.5547,16115.8057,16205.8037,16139.0049,16118.9902,16127.1201,16194.8818,16177.498,16184.9756,16189.54,16111.6445,16118.1133,16180.6689,16257.1963,16115.6865,16162.4463,16155.5371,16087.0381,16150.0537,16207.833,16171.6514,16064.2988,15993.876,16107.4824,16182.1045,16248.0801,16089.1084,16061.7598,16178.5732,16222.1729,16097.8271,16045.1699,16232.2598,16132.7158,16066.377,16128.8281,16224.249,16184.3779,16218.3037,16097.2129,16170.2744,16170.3057,16200.627,16201.9951,16074.4395,16127.8262,16180.7832,16168.5576,16010.8125,16169.0313,16165.1025,16088.9111,16115.1387,16147.7188,16201.2119,16153.3281,16223.5459,16179.4717,16195.2666,16097.4238,16170.2363,16121.458,16072.4971,16141.1025,16059.1514,16154.5371,16192.332,16104.291,16200.2002,16086.6396,16084.9736,16191.8125,16170.5225,16132.5732,16096.9971,16124.6318,16044.4824,16182.9053,16064.3799,16136.9766,16103.7383,16152.666,16039.6836,16238.9883,16142.1563,16127.8535,16176.8574,16168.3447,16211.1563,16100.3525,16094.6846,16139.4854,16108.668,16169.2744,16062.498,16046.4199,16077.3545,16278.5088,16107.7021,16134.0732,16212.7764,3
